Year,State,Exit Code,Reporting Period,Ages Birth through 2,Hispanic/Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or More Races,R/E Total,Male,Female,Gender Total,filename
2016-2017,Missouri,Moved out of state,7/2016 - 6/2017,208,21,0,18,31,2,126,10,208,128,80,208,data\data_file_7.csv.csv
2016-2017,Missouri,Not eligible Part B - exit to other program,7/2016 - 6/2017,297,20,0,3,44,0,218,12,297,163,134,297,data\data_file_7.csv.csv
2016-2017,Missouri,Not eligible Part B - exit with no referrals,7/2016 - 6/2017,392,20,1,8,55,0,293,15,392,233,159,392,data\data_file_7.csv.csv
2016-2017,Missouri,Part B eligibility not determined,7/2016 - 6/2017,189,15,0,0,44,1,118,11,189,128,61,189,data\data_file_7.csv.csv
2016-2017,Missouri,Part B eligible continuning in Part C,7/2016 - 6/2017,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_7.csv.csv
2016-2017,Missouri,Part B eligible exiting Part C,7/2016 - 6/2017,2489,161,1,53,325,11,1837,101,2489,1713,776,2489,data\data_file_7.csv.csv
2016-2017,Missouri,Total number exiting,7/2016 - 6/2017,4577,295,3,101,667,20,3303,188,4577,2932,1645,4577,data\data_file_7.csv.csv
2016-2017,Missouri,Withdrawal by parent,7/2016 - 6/2017,548,35,0,8,81,2,396,26,548,305,243,548,data\data_file_7.csv.csv
2016-2017,Montana,Attempts to contact unsuccessful,7/2016 - 7/2017,36,3,15,x,x,x,15,2,36,15,21,36,data\data_file_7.csv.csv
2016-2017,Montana,Completion of IFSP prior to max age,7/2016 - 7/2017,100,4,12,x,x,x,77,3,100,54,46,100,data\data_file_7.csv.csv
2016-2017,Montana,Deceased,7/2016 - 7/2017,0,0,0,x,x,x,0,0,0,0,0,0,data\data_file_7.csv.csv
2016-2017,Montana,Moved out of state,7/2016 - 7/2017,37,1,4,x,x,x,29,1,37,22,15,37,data\data_file_7.csv.csv
2016-2017,Montana,Not eligible Part B - exit to other program,7/2016 - 7/2017,29,2,1,x,x,x,24,2,29,20,9,29,data\data_file_7.csv.csv
2016-2017,Montana,Not eligible Part B - exit with no referrals,7/2016 - 7/2017,29,1,6,x,x,x,21,1,29,14,15,29,data\data_file_7.csv.csv
2016-2017,Montana,Part B eligibility not determined,7/2016 - 7/2017,81,3,7,x,x,x,65,6,81,41,40,81,data\data_file_7.csv.csv
2016-2017,Montana,Part B eligible continuning in Part C,7/2016 - 7/2017,0,0,0,x,x,x,0,0,0,0,0,0,data\data_file_7.csv.csv
2016-2017,Montana,Part B eligible exiting Part C,7/2016 - 7/2017,268,12,42,x,x,x,201,12,268,203,65,268,data\data_file_7.csv.csv
2016-2017,Montana,Total number exiting,7/2016 - 7/2017,732,30,102,x,x,x,561,31,732,466,266,732,data\data_file_7.csv.csv
2016-2017,Montana,Withdrawal by parent,7/2016 - 7/2017,152,4,15,x,x,x,129,4,152,97,55,152,data\data_file_7.csv.csv
2016-2017,Nebraska,Attempts to contact unsuccessful,7/2016 - 7/2017,73,15,2,3,7,0,41,5,73,49,24,73,data\data_file_7.csv.csv
2016-2017,Nebraska,Completion of IFSP prior to max age,7/2016 - 7/2017,126,9,1,3,10,1,95,7,126,78,48,126,data\data_file_7.csv.csv
2016-2017,Nebraska,Deceased,7/2016 - 7/2017,8,0,0,0,0,0,8,0,8,1,7,8,data\data_file_7.csv.csv
2016-2017,Nebraska,Moved out of state,7/2016 - 7/2017,67,17,0,3,3,0,43,1,67,40,27,67,data\data_file_7.csv.csv
2016-2017,Nebraska,Not eligible Part B - exit to other program,7/2016 - 7/2017,4,0,0,0,0,0,4,0,4,3,1,4,data\data_file_7.csv.csv
2016-2017,Nebraska,Not eligible Part B - exit with no referrals,7/2016 - 7/2017,28,3,0,1,1,0,22,1,28,8,20,28,data\data_file_7.csv.csv
2016-2017,Nebraska,Part B eligibility not determined,7/2016 - 7/2017,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_7.csv.csv
2016-2017,Nebraska,Part B eligible continuning in Part C,7/2016 - 7/2017,686,93,10,13,17,1,532,20,686,466,220,686,data\data_file_7.csv.csv
2016-2017,Nebraska,Part B eligible exiting Part C,7/2016 - 7/2017,282,63,7,11,17,1,178,5,282,185,97,282,data\data_file_7.csv.csv
2016-2017,Nebraska,Total number exiting,7/2016 - 7/2017,1414,223,22,35,58,3,1029,44,1414,911,503,1414,data\data_file_7.csv.csv
2016-2017,Nebraska,Withdrawal by parent,7/2016 - 7/2017,140,23,2,1,3,0,106,5,140,81,59,140,data\data_file_7.csv.csv
2016-2017,Nevada,Attempts to contact unsuccessful,7/2016 - 6/2017,309,133,2,5,49,1,98,21,309,184,125,309,data\data_file_7.csv.csv
2016-2017,Nevada,Completion of IFSP prior to max age,7/2016 - 6/2017,256,89,0,9,17,2,121,18,256,151,105,256,data\data_file_7.csv.csv
2016-2017,Nevada,Deceased,7/2016 - 6/2017,13,6,0,1,2,0,2,2,13,5,8,13,data\data_file_7.csv.csv
2016-2017,Nevada,Moved out of state,7/2016 - 6/2017,218,57,0,7,25,2,104,23,218,143,75,218,data\data_file_7.csv.csv
2016-2017,Nevada,Not eligible Part B - exit to other program,7/2016 - 6/2017,76,14,2,4,8,0,44,4,76,44,32,76,data\data_file_7.csv.csv
2016-2017,Nevada,Not eligible Part B - exit with no referrals,7/2016 - 6/2017,26,8,0,3,0,0,14,1,26,17,9,26,data\data_file_7.csv.csv
2016-2017,Nevada,Part B eligibility not determined,7/2016 - 6/2017,513,212,4,22,64,5,171,35,513,359,154,513,data\data_file_7.csv.csv
2016-2017,Nevada,Part B eligible continuning in Part C,7/2016 - 6/2017,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_7.csv.csv
2016-2017,Nevada,Part B eligible exiting Part C,7/2016 - 6/2017,1143,477,12,51,90,3,417,93,1143,814,329,1143,data\data_file_7.csv.csv
2016-2017,Nevada,Total number exiting,7/2016 - 6/2017,3075,1179,25,132,304,15,1196,224,3075,2037,1038,3075,data\data_file_7.csv.csv
2016-2017,Nevada,Withdrawal by parent,7/2016 - 6/2017,521,183,5,30,49,2,225,27,521,320,201,521,data\data_file_7.csv.csv
2016-2017,New Hampshire,Attempts to contact unsuccessful,7/2016 - 6/2017,141,11,x,2,4,x,114,10,141,80,61,141,data\data_file_7.csv.csv
2016-2017,New Hampshire,Completion of IFSP prior to max age,7/2016 - 6/2017,428,12,x,10,4,x,388,14,428,244,184,428,data\data_file_7.csv.csv
2016-2017,New Hampshire,Deceased,7/2016 - 6/2017,5,1,x,0,1,x,3,0,5,3,2,5,data\data_file_7.csv.csv
2016-2017,New Hampshire,Moved out of state,7/2016 - 6/2017,104,5,x,10,2,x,79,7,104,60,44,104,data\data_file_7.csv.csv
2016-2017,New Hampshire,Not eligible Part B - exit to other program,7/2016 - 6/2017,100,6,x,4,1,x,82,7,100,66,34,100,data\data_file_7.csv.csv
2016-2017,New Hampshire,Not eligible Part B - exit with no referrals,7/2016 - 6/2017,74,0,x,2,1,x,68,3,74,52,22,74,data\data_file_7.csv.csv
2016-2017,New Hampshire,Part B eligibility not determined,7/2016 - 6/2017,140,14,x,2,3,x,107,14,140,92,48,140,data\data_file_7.csv.csv
2016-2017,New Hampshire,Part B eligible continuning in Part C,7/2016 - 6/2017,0,0,x,0,0,x,0,0,0,0,0,0,data\data_file_7.csv.csv
2016-2017,New Hampshire,Part B eligible exiting Part C,7/2016 - 6/2017,775,32,x,24,15,x,653,47,775,553,222,775,data\data_file_7.csv.csv
2016-2017,New Hampshire,Total number exiting,7/2016 - 6/2017,1989,91,x,55,35,x,1693,110,1989,1282,707,1989,data\data_file_7.csv.csv
2016-2017,New Hampshire,Withdrawal by parent,7/2016 - 6/2017,222,10,x,1,4,x,199,8,222,132,90,222,data\data_file_7.csv.csv
2016-2017,New Jersey,Attempts to contact unsuccessful,7/2016 - 6/2017,614,231,0,41,101,0,209,32,614,380,234,614,data\data_file_7.csv.csv
2016-2017,New Jersey,Completion of IFSP prior to max age,7/2016 - 6/2017,1526,344,0,73,101,4,943,61,1526,868,658,1526,data\data_file_7.csv.csv
2016-2017,New Jersey,Deceased,7/2016 - 6/2017,14,4,1,0,1,0,7,1,14,8,6,14,data\data_file_7.csv.csv
2016-2017,New Jersey,Moved out of state,7/2016 - 6/2017,420,143,0,72,39,1,148,17,420,301,119,420,data\data_file_7.csv.csv
2016-2017,New Jersey,Not eligible Part B - exit to other program,7/2016 - 6/2017,1983,817,4,122,175,2,801,62,1983,1340,643,1983,data\data_file_7.csv.csv
2016-2017,New Jersey,Not eligible Part B - exit with no referrals,7/2016 - 6/2017,347,117,1,26,31,1,153,18,347,251,96,347,data\data_file_7.csv.csv
2016-2017,New Jersey,Part B eligibility not determined,7/2016 - 6/2017,1709,624,2,111,229,4,681,58,1709,1230,479,1709,data\data_file_7.csv.csv
2016-2017,New Jersey,Part B eligible continuning in Part C,7/2016 - 6/2017,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_7.csv.csv
2016-2017,New Jersey,Part B eligible exiting Part C,7/2016 - 6/2017,5098,1858,3,447,553,19,2026,192,5098,3648,1450,5098,data\data_file_7.csv.csv
2016-2017,New Jersey,Total number exiting,7/2016 - 6/2017,13510,4585,14,1103,1363,36,5905,504,13510,9128,4382,13510,data\data_file_7.csv.csv
2016-2017,New Jersey,Withdrawal by parent,7/2016 - 6/2017,1799,447,3,211,133,5,937,63,1799,1102,697,1799,data\data_file_7.csv.csv
2016-2017,New Mexico,Attempts to contact unsuccessful,1/2016 - 1/2017,697,518,86,4,10,1,75,3,697,391,306,697,data\data_file_7.csv.csv
2016-2017,New Mexico,Completion of IFSP prior to max age,1/2016 - 1/2017,453,290,26,5,4,2,115,11,453,241,212,453,data\data_file_7.csv.csv
2016-2017,New Mexico,Deceased,1/2016 - 1/2017,11,5,1,0,2,0,2,1,11,7,4,11,data\data_file_7.csv.csv
2016-2017,New Mexico,Moved out of state,1/2016 - 1/2017,418,223,24,3,15,0,142,11,418,241,177,418,data\data_file_7.csv.csv
2016-2017,New Mexico,Not eligible Part B - exit to other program,1/2016 - 1/2017,279,186,19,1,6,0,59,8,279,148,131,279,data\data_file_7.csv.csv
2016-2017,New Mexico,Not eligible Part B - exit with no referrals,1/2016 - 1/2017,254,169,29,3,3,0,44,6,254,154,100,254,data\data_file_7.csv.csv
2016-2017,New Mexico,Part B eligibility not determined,1/2016 - 1/2017,507,338,32,5,16,0,104,12,507,314,193,507,data\data_file_7.csv.csv
2016-2017,New Mexico,Part B eligible continuning in Part C,1/2016 - 1/2017,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_7.csv.csv
2016-2017,New Mexico,Part B eligible exiting Part C,1/2016 - 1/2017,1468,974,131,9,23,2,305,24,1468,991,477,1468,data\data_file_7.csv.csv
2016-2017,New Mexico,Total number exiting,1/2016 - 1/2017,5031,3370,408,35,95,5,1028,90,5031,2991,2040,5031,data\data_file_7.csv.csv
2016-2017,New Mexico,Withdrawal by parent,1/2016 - 1/2017,944,667,60,5,16,0,182,14,944,504,440,944,data\data_file_7.csv.csv
2016-2017,New York,Attempts to contact unsuccessful,7/2016 - 6/2017,633,215,1,30,137,3,236,11,633,394,239,633,data\data_file_7.csv.csv
2016-2017,New York,Completion of IFSP prior to max age,7/2016 - 6/2017,3084,403,10,81,180,10,2362,38,3084,1720,1364,3084,data\data_file_7.csv.csv
2016-2017,New York,Deceased,7/2016 - 6/2017,51,11,0,2,8,0,29,1,51,25,26,51,data\data_file_7.csv.csv
2016-2017,New York,Moved out of state,7/2016 - 6/2017,808,203,1,95,101,7,391,10,808,504,304,808,data\data_file_7.csv.csv
2016-2017,New York,Not eligible Part B - exit to other program,7/2016 - 6/2017,276,93,0,14,25,1,137,6,276,185,91,276,data\data_file_7.csv.csv
2016-2017,New York,Not eligible Part B - exit with no referrals,7/2016 - 6/2017,837,163,0,49,77,3,534,11,837,534,303,837,data\data_file_7.csv.csv
2016-2017,New York,Part B eligibility not determined,7/2016 - 6/2017,3223,935,6,210,452,37,1542,41,3223,2103,1120,3223,data\data_file_7.csv.csv
2016-2017,New York,Part B eligible continuning in Part C,7/2016 - 6/2017,9724,3110,16,770,1361,77,4315,75,9724,6475,3249,9724,data\data_file_7.csv.csv
2016-2017,New York,Part B eligible exiting Part C,7/2016 - 6/2017,9204,2293,20,466,954,55,5277,139,9204,6409,2795,9204,data\data_file_7.csv.csv
2016-2017,New York,Total number exiting,7/2016 - 6/2017,29486,7854,58,1851,3503,213,15648,359,29486,19317,10169,29486,data\data_file_7.csv.csv
2016-2017,New York,Withdrawal by parent,7/2016 - 6/2017,1646,428,4,134,208,20,825,27,1646,968,678,1646,data\data_file_7.csv.csv
2016-2017,North Carolina,Attempts to contact unsuccessful,7/2016 - 6/2017,1027,130,12,24,375,0,454,32,1027,601,426,1027,data\data_file_7.csv.csv
2016-2017,North Carolina,Completion of IFSP prior to max age,7/2016 - 6/2017,797,100,8,13,117,2,539,18,797,431,366,797,data\data_file_7.csv.csv
2016-2017,North Carolina,Deceased,7/2016 - 6/2017,37,5,0,0,12,0,19,1,37,22,15,37,data\data_file_7.csv.csv
2016-2017,North Carolina,Moved out of state,7/2016 - 6/2017,383,67,3,16,72,5,211,9,383,247,136,383,data\data_file_7.csv.csv
2016-2017,North Carolina,Not eligible Part B - exit to other program,7/2016 - 6/2017,300,63,2,7,81,1,138,8,300,197,103,300,data\data_file_7.csv.csv
2016-2017,North Carolina,Not eligible Part B - exit with no referrals,7/2016 - 6/2017,480,86,7,14,80,0,277,16,480,300,180,480,data\data_file_7.csv.csv
2016-2017,North Carolina,Part B eligibility not determined,7/2016 - 6/2017,1938,445,12,57,590,0,781,53,1938,1272,666,1938,data\data_file_7.csv.csv
2016-2017,North Carolina,Part B eligible continuning in Part C,7/2016 - 6/2017,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_7.csv.csv
2016-2017,North Carolina,Part B eligible exiting Part C,7/2016 - 6/2017,3252,557,27,61,753,6,1754,94,3252,2259,993,3252,data\data_file_7.csv.csv
2016-2017,North Carolina,Total number exiting,7/2016 - 6/2017,9508,1708,80,230,2311,16,4897,266,9508,6114,3394,9508,data\data_file_7.csv.csv
2016-2017,North Carolina,Withdrawal by parent,7/2016 - 6/2017,1294,255,9,38,231,2,724,35,1294,785,509,1294,data\data_file_7.csv.csv
2016-2017,North Dakota,Attempts to contact unsuccessful,7/2016 - 6/2017,49,4,15,0,2,1,20,7,49,27,22,49,data\data_file_7.csv.csv
2016-2017,North Dakota,Completion of IFSP prior to max age,7/2016 - 6/2017,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_7.csv.csv
2016-2017,North Dakota,Deceased,7/2016 - 6/2017,2,0,0,0,0,0,2,0,2,2,0,2,data\data_file_7.csv.csv
2016-2017,North Dakota,Moved out of state,7/2016 - 6/2017,88,8,1,3,3,1,51,21,88,58,30,88,data\data_file_7.csv.csv
2016-2017,North Dakota,Not eligible Part B - exit to other program,7/2016 - 6/2017,184,5,22,2,3,0,127,25,184,107,77,184,data\data_file_7.csv.csv
2016-2017,North Dakota,Not eligible Part B - exit with no referrals,7/2016 - 6/2017,16,0,1,0,0,0,14,1,16,10,6,16,data\data_file_7.csv.csv
2016-2017,North Dakota,Part B eligibility not determined,7/2016 - 6/2017,216,10,6,1,4,0,179,16,216,132,84,216,data\data_file_7.csv.csv
2016-2017,North Dakota,Part B eligible continuning in Part C,7/2016 - 6/2017,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_7.csv.csv
2016-2017,North Dakota,Part B eligible exiting Part C,7/2016 - 6/2017,405,24,43,5,12,1,278,42,405,279,126,405,data\data_file_7.csv.csv
2016-2017,North Dakota,Total number exiting,7/2016 - 6/2017,1052,53,95,11,27,3,739,124,1052,663,389,1052,data\data_file_7.csv.csv
2016-2017,North Dakota,Withdrawal by parent,7/2016 - 6/2017,92,2,7,0,3,0,68,12,92,48,44,92,data\data_file_7.csv.csv
2016-2017,Northern Marianas,Attempts to contact unsuccessful,7/2016 - 6/2017,4,0,0,0,0,4,0,0,4,2,2,4,data\data_file_7.csv.csv
2016-2017,Northern Marianas,Completion of IFSP prior to max age,7/2016 - 6/2017,2,0,0,0,0,1,0,1,2,2,0,2,data\data_file_7.csv.csv
2016-2017,Northern Marianas,Deceased,7/2016 - 6/2017,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_7.csv.csv
2016-2017,Northern Marianas,Moved out of state,7/2016 - 6/2017,6,0,0,4,0,1,0,1,6,3,3,6,data\data_file_7.csv.csv
2016-2017,Northern Marianas,Not eligible Part B - exit to other program,7/2016 - 6/2017,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_7.csv.csv
2016-2017,Northern Marianas,Not eligible Part B - exit with no referrals,7/2016 - 6/2017,4,0,0,1,0,2,0,1,4,2,2,4,data\data_file_7.csv.csv
2016-2017,Northern Marianas,Part B eligibility not determined,7/2016 - 6/2017,1,0,0,0,0,1,0,0,1,1,0,1,data\data_file_7.csv.csv
2016-2017,Northern Marianas,Part B eligible continuning in Part C,7/2016 - 6/2017,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_7.csv.csv
2016-2017,Northern Marianas,Part B eligible exiting Part C,7/2016 - 6/2017,32,0,0,10,0,20,0,2,32,24,8,32,data\data_file_7.csv.csv
2016-2017,Northern Marianas,Total number exiting,7/2016 - 6/2017,61,0,0,18,0,36,0,7,61,40,21,61,data\data_file_7.csv.csv
2016-2017,Northern Marianas,Withdrawal by parent,7/2016 - 6/2017,12,0,0,3,0,7,0,2,12,6,6,12,data\data_file_7.csv.csv
2016-2017,Ohio,Attempts to contact unsuccessful,7/2016 - 6/2017,942,87,2,9,286,0,476,82,942,590,352,942,data\data_file_7.csv.csv
2016-2017,Ohio,Completion of IFSP prior to max age,7/2016 - 6/2017,1773,91,7,31,170,2,1388,84,1773,969,804,1773,data\data_file_7.csv.csv
2016-2017,Ohio,Deceased,7/2016 - 6/2017,41,5,0,3,9,0,22,2,41,22,19,41,data\data_file_7.csv.csv
2016-2017,Ohio,Moved out of state,7/2016 - 6/2017,264,37,0,9,33,0,175,10,264,182,82,264,data\data_file_7.csv.csv
2016-2017,Ohio,Not eligible Part B - exit to other program,7/2016 - 6/2017,505,47,0,17,62,2,351,26,505,319,186,505,data\data_file_7.csv.csv
2016-2017,Ohio,Not eligible Part B - exit with no referrals,7/2016 - 6/2017,560,29,1,15,57,1,439,18,560,337,223,560,data\data_file_7.csv.csv
2016-2017,Ohio,Part B eligibility not determined,7/2016 - 6/2017,628,47,3,10,145,1,396,26,628,420,208,628,data\data_file_7.csv.csv
2016-2017,Ohio,Part B eligible continuning in Part C,7/2016 - 6/2017,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_7.csv.csv
2016-2017,Ohio,Part B eligible exiting Part C,7/2016 - 6/2017,4561,284,14,90,569,8,3351,245,4561,3223,1338,4561,data\data_file_7.csv.csv
2016-2017,Ohio,Total number exiting,7/2016 - 6/2017,10519,708,28,209,1511,15,7497,551,10519,6816,3703,10519,data\data_file_7.csv.csv
2016-2017,Ohio,Withdrawal by parent,7/2016 - 6/2017,1245,81,1,25,180,1,899,58,1245,754,491,1245,data\data_file_7.csv.csv
2016-2017,Oklahoma,Attempts to contact unsuccessful,7/2016 - 6/2017,380,68,30,4,43,0,189,46,380,189,191,380,data\data_file_7.csv.csv
2016-2017,Oklahoma,Completion of IFSP prior to max age,7/2016 - 6/2017,351,63,23,6,18,1,205,35,351,189,162,351,data\data_file_7.csv.csv
2016-2017,Oklahoma,Deceased,7/2016 - 6/2017,12,3,0,0,0,0,7,2,12,5,7,12,data\data_file_7.csv.csv
2016-2017,Oklahoma,Moved out of state,7/2016 - 6/2017,151,27,7,7,15,2,79,14,151,87,64,151,data\data_file_7.csv.csv
2016-2017,Oklahoma,Not eligible Part B - exit to other program,7/2016 - 6/2017,50,12,3,1,0,1,33,0,50,20,30,50,data\data_file_7.csv.csv
2016-2017,Oklahoma,Not eligible Part B - exit with no referrals,7/2016 - 6/2017,38,5,1,1,4,0,20,7,38,20,18,38,data\data_file_7.csv.csv
2016-2017,Oklahoma,Part B eligibility not determined,7/2016 - 6/2017,529,113,25,5,56,1,282,47,529,348,181,529,data\data_file_7.csv.csv
2016-2017,Oklahoma,Part B eligible continuning in Part C,7/2016 - 6/2017,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_7.csv.csv
2016-2017,Oklahoma,Part B eligible exiting Part C,7/2016 - 6/2017,905,167,32,23,59,5,535,84,905,632,273,905,data\data_file_7.csv.csv
2016-2017,Oklahoma,Total number exiting,7/2016 - 6/2017,2778,519,138,50,219,12,1555,285,2778,1680,1098,2778,data\data_file_7.csv.csv
2016-2017,Oklahoma,Withdrawal by parent,7/2016 - 6/2017,362,61,17,3,24,2,205,50,362,190,172,362,data\data_file_7.csv.csv
2016-2017,Oregon,Attempts to contact unsuccessful,7/2016 - 6/2017,264,70,2,1,7,0,175,9,264,169,95,264,data\data_file_7.csv.csv
2016-2017,Oregon,Completion of IFSP prior to max age,7/2016 - 6/2017,192,37,2,2,3,1,144,3,192,103,89,192,data\data_file_7.csv.csv
2016-2017,Oregon,Deceased,7/2016 - 6/2017,13,0,0,0,0,1,11,1,13,8,5,13,data\data_file_7.csv.csv
2016-2017,Oregon,Moved out of state,7/2016 - 6/2017,184,33,1,14,5,1,124,6,184,108,76,184,data\data_file_7.csv.csv
2016-2017,Oregon,Not eligible Part B - exit to other program,7/2016 - 6/2017,4,3,0,0,0,0,1,0,4,2,2,4,data\data_file_7.csv.csv
2016-2017,Oregon,Not eligible Part B - exit with no referrals,7/2016 - 6/2017,266,57,2,10,4,2,174,17,266,169,97,266,data\data_file_7.csv.csv
2016-2017,Oregon,Part B eligibility not determined,7/2016 - 6/2017,23,9,0,0,0,0,14,0,23,18,5,23,data\data_file_7.csv.csv
2016-2017,Oregon,Part B eligible continuning in Part C,7/2016 - 6/2017,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_7.csv.csv
2016-2017,Oregon,Part B eligible exiting Part C,7/2016 - 6/2017,1935,466,3,54,48,4,1280,80,1935,1368,567,1935,data\data_file_7.csv.csv
2016-2017,Oregon,Total number exiting,7/2016 - 6/2017,3364,791,16,103,80,10,2235,129,3364,2238,1126,3364,data\data_file_7.csv.csv
2016-2017,Oregon,Withdrawal by parent,7/2016 - 6/2017,483,116,6,22,13,1,312,13,483,293,190,483,data\data_file_7.csv.csv
2016-2017,Pennsylvania,Attempts to contact unsuccessful,7/2016 - 6/2017,945,181,0,15,253,1,424,71,945,601,344,945,data\data_file_7.csv.csv
2016-2017,Pennsylvania,Completion of IFSP prior to max age,7/2016 - 6/2017,4884,425,5,111,294,1,3776,272,4884,2828,2056,4884,data\data_file_7.csv.csv
2016-2017,Pennsylvania,Deceased,7/2016 - 6/2017,48,7,0,1,7,0,29,4,48,28,20,48,data\data_file_7.csv.csv
2016-2017,Pennsylvania,Moved out of state,7/2016 - 6/2017,533,114,2,46,51,1,269,50,533,342,191,533,data\data_file_7.csv.csv
2016-2017,Pennsylvania,Not eligible Part B - exit to other program,7/2016 - 6/2017,316,32,0,5,28,0,234,17,316,207,109,316,data\data_file_7.csv.csv
2016-2017,Pennsylvania,Not eligible Part B - exit with no referrals,7/2016 - 6/2017,443,50,1,12,45,0,299,36,443,302,141,443,data\data_file_7.csv.csv
2016-2017,Pennsylvania,Part B eligibility not determined,7/2016 - 6/2017,1533,272,2,33,395,0,725,106,1533,1051,482,1533,data\data_file_7.csv.csv
2016-2017,Pennsylvania,Part B eligible continuning in Part C,7/2016 - 6/2017,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_7.csv.csv
2016-2017,Pennsylvania,Part B eligible exiting Part C,7/2016 - 6/2017,7226,1050,9,245,915,2,4620,385,7226,5110,2116,7226,data\data_file_7.csv.csv
2016-2017,Pennsylvania,Total number exiting,7/2016 - 6/2017,17430,2321,20,531,2247,6,11253,1052,17430,11369,6061,17430,data\data_file_7.csv.csv
2016-2017,Pennsylvania,Withdrawal by parent,7/2016 - 6/2017,1502,190,1,63,259,1,877,111,1502,900,602,1502,data\data_file_7.csv.csv
2016-2017,Puerto Rico,Attempts to contact unsuccessful,7/2016 - 6/2017,239,x,0,x,0,0,0,0,239,152,87,239,data\data_file_7.csv.csv
2016-2017,Puerto Rico,Completion of IFSP prior to max age,7/2016 - 6/2017,1079,x,0,x,0,0,0,0,1079,614,465,1079,data\data_file_7.csv.csv
2016-2017,Puerto Rico,Deceased,7/2016 - 6/2017,5,x,0,x,0,0,0,0,5,3,2,5,data\data_file_7.csv.csv
2016-2017,Puerto Rico,Moved out of state,7/2016 - 6/2017,163,x,0,x,0,0,0,0,163,111,52,163,data\data_file_7.csv.csv
2016-2017,Puerto Rico,Not eligible Part B - exit to other program,7/2016 - 6/2017,0,x,0,x,0,0,0,0,0,0,0,0,data\data_file_7.csv.csv
2016-2017,Puerto Rico,Not eligible Part B - exit with no referrals,7/2016 - 6/2017,0,x,0,x,0,0,0,0,0,0,0,0,data\data_file_7.csv.csv
2016-2017,Puerto Rico,Part B eligibility not determined,7/2016 - 6/2017,1160,x,0,x,0,0,0,0,1160,822,338,1160,data\data_file_7.csv.csv
2016-2017,Puerto Rico,Part B eligible continuning in Part C,7/2016 - 6/2017,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_7.csv.csv
2016-2017,Puerto Rico,Part B eligible exiting Part C,7/2016 - 6/2017,611,x,0,x,0,0,0,0,611,431,180,611,data\data_file_7.csv.csv
2016-2017,Puerto Rico,Total number exiting,7/2016 - 6/2017,3456,x,0,x,0,0,0,0,3456,2259,1197,3456,data\data_file_7.csv.csv
2016-2017,Puerto Rico,Withdrawal by parent,7/2016 - 6/2017,199,x,0,x,0,0,0,0,199,126,73,199,data\data_file_7.csv.csv
2016-2017,Rhode Island,Attempts to contact unsuccessful,7/2016 - 6/2017,243,106,x,4,31,x,93,8,243,141,102,243,data\data_file_7.csv.csv
2016-2017,Rhode Island,Completion of IFSP prior to max age,7/2016 - 6/2017,325,64,x,9,18,x,224,7,325,177,148,325,data\data_file_7.csv.csv
2016-2017,Rhode Island,Deceased,7/2016 - 6/2017,2,0,x,0,0,x,2,0,2,1,1,2,data\data_file_7.csv.csv
2016-2017,Rhode Island,Moved out of state,7/2016 - 6/2017,91,18,x,7,6,x,60,0,91,62,29,91,data\data_file_7.csv.csv
2016-2017,Rhode Island,Not eligible Part B - exit to other program,7/2016 - 6/2017,96,34,x,4,5,x,49,3,96,57,39,96,data\data_file_7.csv.csv
2016-2017,Rhode Island,Not eligible Part B - exit with no referrals,7/2016 - 6/2017,118,24,x,1,7,x,79,6,118,76,42,118,data\data_file_7.csv.csv
2016-2017,Rhode Island,Part B eligibility not determined,7/2016 - 6/2017,150,70,x,3,17,x,60,0,150,111,39,150,data\data_file_7.csv.csv
2016-2017,Rhode Island,Part B eligible continuning in Part C,7/2016 - 6/2017,0,0,x,0,0,x,0,0,0,0,0,0,data\data_file_7.csv.csv
2016-2017,Rhode Island,Part B eligible exiting Part C,7/2016 - 6/2017,669,186,x,20,44,x,384,30,669,449,220,669,data\data_file_7.csv.csv
2016-2017,Rhode Island,Total number exiting,7/2016 - 6/2017,2059,611,x,62,153,x,1160,59,2059,1299,760,2059,data\data_file_7.csv.csv
2016-2017,Rhode Island,Withdrawal by parent,7/2016 - 6/2017,365,109,x,14,25,x,209,5,365,225,140,365,data\data_file_7.csv.csv
2016-2017,South Carolina,Attempts to contact unsuccessful,7/2016 - 6/2017,227,28,1,0,95,0,90,13,227,132,95,227,data\data_file_7.csv.csv
